ds,yhat,yhat_lower,yhat_upper
1962-01-02,0.046515615808219155,-2.278584660104746,2.5087116732236296
1962-01-03,0.0433125271256814,-2.2503836203732845,2.2982147367866625
1962-01-04,0.032043535878745616,-2.0928672626541274,2.3703579599470643
1962-01-05,0.03495547536970606,-2.1979100532159177,2.3184476901321536
1962-01-08,0.016083421068043495,-2.26850156654281,2.4581594843436414
1962-01-09,0.012415626759774506,-2.3212114513590647,2.3076416691978037
1962-01-10,0.0015715123754281891,-2.3187463280017004,2.2343373942862743
1962-01-11,-0.017311128612382,-2.211612426005406,2.2701076174999444
1962-01-12,-0.021774555070452426,-2.2379336184042735,2.3249258862171844
1962-01-15,-0.0593045378165222,-2.4549793656405914,2.2036697330784123
1962-01-16,-0.06741711481291199,-2.4057022751433546,2.268619399818971
1962-01-17,-0.08155731992136217,-2.3230764258605903,2.275332053145336
1962-01-18,-0.10246823236627726,-2.366482793247226,2.2159043998303765
1962-01-19,-0.10760300633225847,-2.333190425011502,2.205313852962889
1962-01-22,-0.13861119412379092,-2.54743114542167,1.9918403465318273
1962-01-23,-0.14174623412398282,-2.442115883027051,2.05074741661749
1962-01-24,-0.14961412766493176,-2.343067352700683,2.0552355342941433
1962-01-25,-0.16307121259612276,-2.5471465680463874,2.147361598641651
1962-01-26,-0.1597132570276224,-2.4066448558584868,2.202679716848339
1962-01-29,-0.16080062828689068,-2.4500112568764134,2.098949433281112
1962-01-30,-0.15316898003061818,-2.473709208159375,2.1503108281277687
1962-01-31,-0.15024559916432473,-2.3885411685652085,2.18679555346543
1962-02-01,-0.15311565192057391,-2.34660989267254,2.231120896497136
1962-02-02,-0.1395998756829897,-2.379931936953044,2.090953089027073
1962-02-05,-0.11487069972777951,-2.4082189169305055,2.116278563899262
1962-02-06,-0.10079005161742846,-2.423911332241807,2.141099363565682
1962-02-07,-0.09273860627261218,-2.355167061451838,2.236929956750147
1962-02-08,-0.09190442481011278,-2.37517836483424,2.0450633393812065
1962-02-09,-0.07617928524286832,-2.2969612498171026,2.0596126866434887
1962-02-12,-0.05400069159819056,-2.3911099037339745,2.155502974007162
1962-02-13,-0.043732527464530185,-2.274062625286573,2.361073082227083
1962-02-14,-0.04084621621927499,-2.2291487848558527,2.236631744712605
1962-02-15,-0.04640911123023096,-2.2959723026334236,2.2704632333565438
1962-02-16,-0.03816732804171925,-2.233087033096005,2.4402794883396544
1962-02-19,-0.04320600201501833,-2.4033873623899464,2.3807134631763485
1962-02-20,-0.042948152685339004,-2.29038413586725,2.1503090196993755
1962-02-21,-0.050197839775116423,-2.549683816374737,2.1579998664513838
1962-02-23,-0.06734722555461675,-2.1708914591026542,2.1786007797779496
1962-02-26,-0.09818438979553798,-2.423645129943814,2.257687540809485
1962-02-27,-0.10482596474288879,-2.3977026100254504,2.2707502761366825
1962-02-28,-0.11791410965986038,-2.408945112893876,2.058252327411013
1962-03-01,-0.13821875161788413,-2.3129896077978254,1.9390099363734328
1962-03-02,-0.14322020086087,-2.4927405151021147,2.037105852724629
1962-03-05,-0.17690525516698996,-2.4409533246952635,2.2011652089600737
1962-03-06,-0.18201377329379348,-2.517191530623955,2.0335124971099114
1962-03-07,-0.19240467793099286,-2.587415325383286,2.1819672683542564
1962-03-08,-0.20892448667835672,-2.5213653376017495,2.0122674330768504
1962-03-09,-0.2091467404642692,-2.5559823312694476,1.8982595273441043
1962-03-12,-0.22364620918477296,-2.6824981098338663,2.0864038996266396
1962-03-13,-0.2211558065781658,-2.5645547061518204,1.8651301540440635
1962-03-14,-0.2235606080461221,-2.4784294557258253,2.1702066921772025
1962-03-15,-0.23183462506226413,-2.40489788810129,1.9673009220586937
1962-03-16,-0.22367411269755308,-2.519015641154468,1.9076602416722577
1962-03-19,-0.21331123329996557,-2.270377151129943,2.080394034347738
1962-03-20,-0.20294590501920362,-2.579101525737688,1.9806401223568428
1962-03-21,-0.19781044656435715,-2.593150831024313,2.130635843012848
1962-03-22,-0.19893650725598191,-2.516293579729206,1.9009012362633497
1962-03-23,-0.18406498154803755,-2.53298355731957,2.03982094833143
1962-03-26,-0.15645465254827,-2.4892121401373766,2.0840093071473733
1962-03-27,-0.1413363261257467,-2.5680550234981987,2.1482660602416455
1962-03-28,-0.13194095698921726,-2.3926326708701975,2.179093131446745
1962-03-29,-0.1292872118823324,-2.4721997661028716,2.3162586639246334
1962-03-30,-0.11109868585751646,-2.4377338029077706,2.182437337755853
1962-04-02,-0.07611077281964419,-2.409268276190735,2.209178228357008
1962-04-03,-0.059323449167927256,-2.120788013909745,2.3139839915777434
1962-04-04,-0.04862478446458252,-2.311121690967174,2.1592651607144293
1962-04-05,-0.04502037420269166,-2.250629346503542,2.1900542614307774
1962-04-06,-0.026224559814893127,-2.429426769439842,2.0708739248338195
1962-04-09,0.008558810554463472,-2.1471506713247077,2.3014018044853275
1962-04-10,0.024596369513346893,-2.283683435362154,2.275783525921216
1962-04-11,0.03419499078075698,-2.287468137896985,2.338508060015991
1962-04-12,0.036341484167796895,-2.2397343545508863,2.384095924486914
1962-04-13,0.053314240251919304,-2.32010019968146,2.3236674632923
1962-04-16,0.08039636476636436,-2.22464670046786,2.4795438433883854
1962-04-17,0.0931282970540534,-2.1893878481660014,2.4880089730425783
1962-04-18,0.09906834100315157,-2.1028499792166335,2.318869971319803
1962-04-19,0.09722320722841316,-2.3508556286051934,2.475790923060036
1962-04-23,0.12265126595666377,-2.1823384541840927,2.259643761112931
1962-04-24,0.13029715018282023,-2.2184254025854564,2.2817401343844548
1962-04-25,0.1310985013614051,-2.0207460459541378,2.3368393344699077
1962-04-26,0.1241314851905913,-2.0745852777176674,2.479418979442165
1962-04-27,0.13177508345905803,-2.1304754024596515,2.406094277345719
1962-04-30,0.13071913563957513,-1.9392323205620738,2.305304089294359
1962-05-01,0.13443398279548593,-2.277450465179098,2.242345041123012
1962-05-02,0.13175108636959726,-2.345591123508318,2.330454976943442
1962-05-03,0.12180290376291625,-2.0426039173472024,2.3720331202513854
1962-05-04,0.12701535679968629,-2.2596782856361903,2.4055059331294584
1962-05-07,0.12226423700935386,-2.2280863603491072,2.3303287822033463
1962-05-08,0.12598130673486213,-2.1830547095224784,2.3544937652118034
1962-05-09,0.12390009024532003,-2.0726411405431113,2.339784090543808
1962-05-10,0.11512128280271965,-2.1077817247399158,2.4641098413101115
1962-05-11,0.12202534175367907,-2.2294395720400266,2.279376827933418
1962-05-14,0.12484273637292856,-2.177926621886699,2.41639251460574
1962-05-15,0.1316491243621581,-2.22031300256503,2.364379101822771
1962-05-16,0.13278885973861212,-2.014902927078224,2.30806768243487
1962-05-17,0.12726475393146014,-1.9435297741126196,2.4191861409196247
1962-05-18,0.13735817353855628,-2.0130160807797375,2.348877513654274
1962-05-21,0.14839617014920736,-2.000967897307303,2.462491596379549
1962-05-22,0.1572044251504649,-2.132169647110075,2.4712190005068
1962-05-23,0.15985505140576842,-2.1102891314508505,2.5308601175791337
1962-05-24,0.15529570682085533,-2.0162967828355987,2.4112625517389823
1962-05-25,0.1657668526979953,-2.2005528812868724,2.495062724367149
1962-05-28,0.17424195807187343,-2.1725558314927524,2.5981790361088217
1962-05-29,0.18098757255748674,-1.9368898806450245,2.3707849925003446
1962-05-31,0.17335182725557385,-1.9447006994942768,2.414229375175673
1962-06-01,0.18028016545932077,-2.0287948118531913,2.5181681210572413
1962-06-04,0.17638156358755958,-2.098963351488533,2.5325954061014415
1962-06-05,0.17873816469094062,-2.0248434971873057,2.2969818726131077
1962-06-06,0.1744220410517132,-2.0174734383219324,2.391188894504971
1962-06-07,0.162537061068557,-2.128475787869456,2.4921098546505536
1962-06-08,0.16549001569908167,-2.241720826577632,2.3521462821717796
1962-06-11,0.15197870128855287,-2.080164714529939,2.3881187068193275
1962-06-12,0.15214826788730862,-2.282825216365341,2.41981771689373
1962-06-13,0.146245588012148,-2.084708380485287,2.4773049062847368
1962-06-14,0.1334081053938547,-2.0326396900144448,2.4417937410533304
1962-06-15,0.13606066170528336,-2.2128055788908543,2.4594402182104695
1962-06-18,0.1255061502800084,-2.1856840832220255,2.5585064122518437
1962-06-19,0.12785400260878893,-2.1371032526847675,2.431991874018736
1962-06-20,0.12464527927718846,-2.1639807598567673,2.486808848445046
1962-06-21,0.11495175597401364,-2.112621742625777,2.3052307210691967
1962-06-22,0.12112376007741522,-2.0618337953175763,2.3569725864919215
1962-06-25,0.12255003335171442,-2.1537667453776748,2.490733970587797
1962-06-26,0.1290771043645904,-2.171689517907464,2.337514128319597
1962-06-27,0.1299987339696779,-2.2155800025571444,2.200860489433237
1962-06-28,0.1243080734667919,-2.1071327632084422,2.3172754217861464
1962-06-29,0.13428398737398106,-2.1526641993610176,2.655580323809264
1962-07-02,0.14535551753240816,-2.0645115198962127,2.3790057437793655
1962-07-03,0.15437358571413792,-2.2582331770887274,2.4852567240998837
1962-07-05,0.15338440482995921,-2.2975970439985436,2.368418449194411
1962-07-06,0.1646532061673074,-2.025390606011417,2.5491112556164124
1962-07-09,0.1774679029755074,-1.9770156865716182,2.5073361879673177
1962-07-10,0.186476901464414,-2.064472221160553,2.2981347526739055
1962-07-11,0.18926223285698276,-2.0844109310427887,2.426549014238096
1962-07-12,0.18486405320345914,-1.967382134480568,2.3346234327443347
1962-07-13,0.19562063539366534,-2.1914602206818032,2.535300079597324
1962-07-16,0.20668061918257907,-1.987488212435205,2.547374974178964
1962-07-17,0.21516784549667403,-2.1100412689179637,2.618346947265707
1962-07-18,0.21751316156225645,-1.9359401854394667,2.4999777481334298
1962-07-19,0.21277365135611245,-2.0578677230531186,2.6023764567769785
1962-07-20,0.22329463069837702,-2.049179033054976,2.4861744869211027
1962-07-23,0.23420074536228114,-2.1210398173418668,2.595173898698705
1962-07-24,0.24274556897949323,-2.153892765791109,2.6167482114128036
1962-07-25,0.2451439349061264,-2.0140230435109094,2.369263915183898
1962-07-26,0.24040740744226952,-2.148684686018266,2.430350814186171
1962-07-27,0.2508313128030179,-1.9066141321020567,2.6431546351916686
1962-07-30,0.2603198845597726,-2.104061331730874,2.6088501072462056
1962-07-31,0.26784724858219205,-2.0025963865551155,2.64304446663529
1962-08-01,0.2688811100356397,-1.883187906368457,2.588132468908418
1962-08-02,0.262398510941723,-2.080819084064894,2.395688496248164
1962-08-03,0.27066948148003495,-1.9365091136859098,2.435664015788781
1962-08-06,0.27117017709287733,-2.061927571665016,2.4957484855814815
1962-08-07,0.27488992997934303,-1.9414909210893136,2.4706913109740802
1962-08-08,0.2717573788329509,-2.1505491005428397,2.480069766671204
1962-08-09,0.2607960326383896,-2.0711204530907352,2.540772939907001
1962-08-10,0.2643334170253548,-1.968994527135686,2.5795239310619196
1962-08-13,0.2498141617461979,-2.1812478599222453,2.62664207359111
1962-08-14,0.24852256295142075,-2.0006648166584,2.522007118300801
1962-08-15,0.24051856780124647,-2.1131505837548854,2.4843503760061583
1962-08-16,0.2249107298792929,-2.1430882607986512,2.502644848196222
1962-08-17,0.2241078332866575,-2.1254499857645817,2.463258241704718
1962-08-20,0.19910879745796992,-1.8942153574803038,2.6311280621398425
1962-08-21,0.19535357290254313,-1.9989364409859436,2.5667348854878576
1962-08-22,0.18545946629176333,-2.2239020900745783,2.5289107450383623
1962-08-23,0.1685476933054682,-2.1635861079706866,2.5696453127660397
1962-08-24,0.1670234489440673,-2.230027637491581,2.463524659024543
1962-08-27,0.14307455671491764,-2.1468519831622968,2.288753123096042
1962-08-28,0.14056923450448858,-2.2263498025661934,2.5324693101743474
1962-08-29,0.1322545894408348,-2.221545688519852,2.369376480173839
1962-08-30,0.11716268615851813,-2.229309055038013,2.3809280315250243
1962-08-31,0.11760156619238285,-2.1507224173624793,2.314967750195922
1962-09-04,0.09836958697612054,-2.3229913157315125,2.4803958702755633
1962-09-05,0.09120044509660119,-2.0137871593507572,2.457098396400083
1962-09-06,0.07681172409134826,-2.381269681252112,2.436492735019887
1962-09-07,0.07744189606932064,-2.2568026566296573,2.3968614308578515
1962-09-10,0.05625817633267322,-2.019882296362149,2.360860157367305
1962-09-11,0.053040299293061206,-2.396317576921352,2.3786121867193204
1962-09-12,0.04305675788118625,-2.271546643523867,2.2334581752790035
1962-09-13,0.02530013050580685,-2.1768822477215846,2.2923400077703286
1962-09-14,0.022071629643058505,-2.2249728747732047,2.472266128892586
1962-09-17,-0.01273850806664479,-2.247648858498151,2.165967954537025
1962-09-18,-0.020809877056675634,-2.33834645757463,2.3209622029072823
1962-09-19,-0.0355890966410251,-2.7017198288562168,2.141744019069789
1962-09-20,-0.057945823261151976,-2.1639648394591244,2.417611660882388
1962-09-21,-0.06543964264221583,-2.1818949056560806,2.303609796200143
1962-09-24,-0.1097023609200335,-2.5190608920018875,1.9587586469627902
1962-09-25,-0.11941009863926881,-2.3379733626673365,2.0060856776123486
1962-09-26,-0.13490283910226075,-2.377752364399317,2.2118236075685895
1962-09-27,-0.1569778226226648,-2.3665901400375526,2.023441259449096
1962-09-28,-0.16314357051248524,-2.3997875634698738,2.0797107423280856
1962-10-01,-0.19698543652122644,-2.4762262588880404,1.9805681872059415
1962-10-02,-0.20114318570589804,-2.316195603831547,2.227653902561519
1962-10-03,-0.21014268130248193,-2.520219811372558,2.0113155947769346
1962-10-04,-0.22487207211609425,-2.658645267500608,2.049867676580455
1962-10-05,-0.22295074541052265,-2.4678899644937435,2.248246852298029
1962-10-08,-0.22943104733494823,-2.6311137472895902,2.106091119726448
1962-10-09,-0.22394040168671853,-2.4766052408616486,2.4122049402728076
1962-10-10,-0.22329494112907572,-2.2860357074143165,2.073877458431173
1962-10-11,-0.2285434153707697,-2.6202609101128136,1.949813346805919
